product_name,product_review,user_rating
Kentucky Brunch Brand Stout,"I didnt think i was going to give it a perfect score but..... Its looks, smells, tastes, a 5, HOWEVER, the mouth feel is NOT BY ANY MEANS EQUAL TO LOOK SMELL AND TASTE. Pardon me i have to sit down. Mouth feel is, well 11. Yeh, like twice as good as anything ive ever had before. It grabs you by the face with both hands and says, 'what was that that just went down my throat'. It tasted familiar-- like real, pure butter on real Belgium-chocolate, buttermilk pancakes with fresh highbush blueberries, real Vermont maple syrup and Madagascar vanilla, served with Seattle coffee, and a shot of pappy.",5.0
Kentucky Brunch Brand Stout,"So I just read a review that called the legendary KBBS, “typical…white trash.” It kinda made me nervous because I don’t dig white/pale stouts and I thought, “how could I miss that this being a white stout?!”
Well happily that guy is drinking something else. Or maybe he meant that KBBS is like Mountain Dew; enjoyed by European-Americans whom the reviewer is afraid of. Bah, who cares?
So KBBS. Looks great poured into a wine stem. Really dark lovely stuff. There’s foam for those of you who judge beer based on foam. Yep, it’s present. Looks like foam too.
The wine glass is supposed to enable the drinker to easily acquire aromas. This one is heavy on the adjuncts and, as a result, heavy on aromas that should be present but not so overwhelming. I am a lover of all things maple syrup so I enjoy it. Underneath the maple I get pretty standard, decent stout aromas of coffee, cocoa and roasted grain. Maybe mulberries? Yeah mulberries have an aroma and it’s subtle but rather pleasant. The additions aren’t artificial on the nose but just too much. Kinda like someone skipped the basics and went right to breaking the rules. I could go on at length about the fallacy of that approach but you don’t care.
After tasting many beers and learning how to pay attention to the different aspects of beer tasting, I have found that reviewing the “front,” “back” and finish is not NECESSARILY pretentious, it’s simply that many reviewers are. This one is actually kinda consistent. The nose is pretty reliable in telegraphing the initial flavor. The maple maple maple. Yeah it’s real maple syrup and there’s a lot of it. There’s definitely cocoa and quite possibly vanilla adjuncts present. I am not going to trash this beer because of the adjuncts - I knew that going in. But they’re aggressive. Dark fruit on the finish, for which I am grateful.
Given the abv and particular adjuncts, I expected a boozy, heavy feel with little carbonation and that is exactly it. Again, pleasant.
Of course some will reflexively say that the highest rated beers are overrated. In this case I agree but that’s a reactionary approach. This is a very enjoyable beer. Of late I have become increasingly skeptical of adjunct stouts because I truly think that they are too quickly used when experience and talent can produce a world of flavors without just capriciously tossing stuff in a barrel. In sum, the score is ridiculously high. But it’s too good to score it a protest one…",3.79
Kentucky Brunch Brand Stout,"2021 vintage, bottle #79

Holy. Fucking. Shit. KBBS. Beer review #1000. We're finally here. Legendary. I absolutely splurged on this one, but why not? Morbid curiosity got the better of me. I can't think of a better beer to review for this milestone than the highest rated beer in the whole damn world. I do love maple as an adjunct, so I'm (cautiously) optimistic for this one. I guess there's nothing to do now other than popping this open huh?

Pours completely pitch black with no head into the signature branded stemless teku, just a thin tan ring that leaves no lacing

The nose on this beer is an all out maple bomb, but there's a nice subtlety to it as well. I'm picking up on aromas of real maple syrup, light roast coffee, sticky caramel, pecan pie, milk chocolate, toasted oak, and light earthy bourbon

Man, I didn't want to like the taste of this as much as I do. It's not the most complex thing I've ever had but it is so goddamn good for what it is. On the front end of the sip I'm tasting sticky maple syrup, caramel candy, milk chocolate, fruity coffee, light oak, toffee, and raisin. The swallow brings notes of fruity coffee, sticky maple, spicy bourbon, milk chocolate, espresso, vanilla ice cream, pecan pie, and toasted oak. Sublime

A medium full body pairs with gentle tingling carbonation, resulting in a velvety beer. Finishes surprisingly dry and boozy with a wonderful sweetness

I won't even play around, this is fucking amazing. Not top beer in the world amazing, but it definitely cracks my top 10. This is truly a once in a lifetime beer experience. I will likely never get another bottle again unless I make the trek out to Iowa with @Pru (who I allowed a few sips of this for his review) but I will cherish every sip of this one. More than the sum of its parts. Cheers BA!",4.64
Kentucky Brunch Brand Stout,"Celebrating my buddy @Rug with his 1,000th beer review. Pours an almost perfect black with no head. Smells lightly of maple syrup and chocolate. With the first sip I immediately tasted chocolate and caramel followed by a maple syrup finish. The syrup flavor lingers. The feel department is where this stout lacks. Feels very light, which is good for me as someone not too fond of stouts and lagers but to the avid fan of a heavier beer, this one may disappoint. Overall great beer and I’m glad I got to crack it open with my bud.",4.27
Kentucky Brunch Brand Stout,"Thick and syrupy pour, mocha head. Aroma is boozy maple, bittersweet chocolate.
Lived up to my expectations and very happy to try.
Mouthfeel was heavy, syrupy, smooth with light carbonation.
Nice barrel presence and all the flavors blend together neatly.",4.79
Kentucky Brunch Brand Stout,"Look - fantastic black and thick with a great tan head
Smell - maple and barrel
Taste - great maple coffee barrel taste
Feel - full body creamy light carb
Overall - incredible but for the hype, to much maple",4.73
Kentucky Brunch Brand Stout,"Initial nose is beautiful maple! The taste is nice barrel, maple, coffee and chocolate. This is very rich and overall deserving of the high ratings. The only slight knock on this beer is viscosity.",4.96
Kentucky Brunch Brand Stout,"A: Nightfall in appearance that presents a class, of shades, within the Bearded Iris: Before the Storm. Though, the arriving predominance peers to schemes of an Ayam Cemani, with dyed allocations on provoked (methodical) discharges. Inasmuch as, light charcoal to the late reposed tones of a Cayuga Duck, given the dark purple to aerated grey-green exhales. In conjunction, a fallow headpiece that’s brief in withstanding preservation. Yet, justifiably well-designed, as the accents address the Beaver toned collapse with a Dutch white lip. There is minimal adherence upon the necks fold, as that portrayal comes in balmy, goaded strides. Notwithstanding, the thermal development behind tack-distilled tears, for adequately webbing church windows. To that extent, a multi-layered scene that’s deep for optimization with each intermission

S: Malt is put into motion and characterized by the sweet/rich lexicons with a thick trek for pure maple, as a slight roasted bite aids in dimension. Thereby, ushering in dark chocolate on sticky toffee, while puck tamping a quad-sized shot in back. There’s a pastiness in the peripheral that fastens the bourbon adhesion to coffee beans. Coupled with, an aerated basecoat for raisin molasses gems, while strolling cold deciduous forests, as red maple and birch bark circumference pine resin. The barrel interiors coat figs and prunes beneath, while malt soothes midriffs above, before synergizing cask complexions. Accordingly, a caramel crème brûlée middle with a touch of frangipane/hazelnut praline, while the blend puts notice on vanilla oak staves. The furtherance becomes rightly victimized, by the prolonged exposure, where opportunities pit meaty leather to spice-pipe tobacco, as marshmallow fondant faints to the barreled derived coconut. This progresses to sawn wood, from the recoiled temperate woodlands, as a balminess curbs brandy to the dried fruit shifts and hard Chimes. In the interim, an oak sediment lingers with a dry hop bite amongst ricocheting malt, as bourbon pitches flat densities to the rhythm behind (soft) tannins

T: A proactive start on clean maple that measures a light bourbon dictation against roasted grains, as esters serenely interweave. The blend fondues oak atop Barhi Dates and Pain aux raisins, while summersaulting around prunes, before paying heed to Lemberger grapes. That aside, foretaste is mainly situated on rich Ganache over maple poffertjes, as a robust earthiness tends juneberries to dark rosin cascades. Mid-palate opens malt to bready dexterities with reacting nuts/walnuts, in the act of a polymer coalescence. Chiefly, a league for barrel mechanics besides toasted grains, as the equidistant hovers around caramelized toffee and chocolate cordials. In a prolonged/timely struggle, the progression veers off of fudge fondant for more complex - wooded - polymers set to vanillin staves, and oaked-smoked book shelves. Moreover, a greenhouse effect that becomes prevalent in the orchestration of deferred intervals. In light of oxygenating restfully across the hours, the blend incriminates Bual, from Madeira regions, and suggests charred figs with dried marzipan. In turn, a distantly placed roasted bite to the inclining warming degree, as the blend’s anatomy codas tarry skins with Mozhee extractions

M: A level of fatness that’s rich in fluidity, for levying a smooth, composited viscosity. The mechanics attend carbonation cautiously, by truncating the spectrum, for warming coordination behind that semi-tamed glueyness. Such factors roadmap a weighing scale, as vitrics breath open air, and course a drying constitute. In passing, the approach offers an adhesiveness without taxing saccharinity, while protracting an earthly bite to waddle an exsiccation with light (caustic) tannin physiques

O: The framework provides a eurythmic nature on maple, with a backing around barrel warmth and an elusive sense to earthy livelihoods. In centering agenda, the woody hop influence remains docile to the gravity behind malts blended depth, yet prompts in for balance and refines ester institution on clocked time. Consequently, forest fruits and backwoods are shrouded, by a tug-of-war sense of heft, but consciously linger with a palate fondness in step",4.23
Kentucky Brunch Brand Stout,"Draft pour at TG.

Pitch black with no head. Not too thick. At the nose is heavy maple with some coffee. I didn’t really pick up any barrels though. The taste is likewise the same, heavy maple with coffee and chocolate. Very little barrel as it warmed. Medium bodied, perfect carbonation. Not too thin nor too thick. Overall: a standard BA breakfast stout. Great beer overall but over hyped with ridiculous pricing. Glad I had a draft pour which cost less per oz than the bottle. It seems to me it’s almost the same as Mornin Delight.",4.49
Kentucky Brunch Brand Stout,"2020 vintage drank 10/22/21
Incredible smell as soon as bottle was opened. Rich maple, chocolate, syrup breakfast in a glass. Incredibly smooth. Not a ton of bourbon flavor, and no alcohol burn. Not as thick as some TG stouts like assassin, but still an incredible beer and glad I chased it. Definitely one of the best",4.9
